Unique UN Assigned ID	ACC/BCC/ASCC	Dictionary Entry Name	Definition	Object Class Term	Property Term Qualifier(s)	Property Term	Datatype Qualifier(s)	Representation Term	Qualified Data Type UID	Associated Object Class Term Qualifier(s)	Associated Object Class	Business Term(s)	Usage Rule(s)	Sequence Number	Occurrence Min	Occurrence Max	Version
UN00002150	ASCC	Accounting Account. Derived. Report	A report which is derived from values within this accounting account, such as a tax return or financial statement.	Accounting Account		Derived					Report			1	0	unbounded	1.0
UN00002165	ACC	Accounting Entry Line. Details	A line included in an accounting entry.	Accounting Entry Line													1.0
UN00002166	BCC	Accounting Entry Line. Comment. Text	The comment, expressed as text, for this accounting entry line.	Accounting Entry Line		Comment		Text						1	0	1	1.0
UN00002167	BCC	Accounting Entry Line. Category. Code	The code specifying the category of this accounting entry line, such as opening balance, normal, simulation, paid commercial paper not yet due from a prior period, not matched line in a prior period, or not reconciled line in a prior period.	Accounting Entry Line		Category		Code						2	0	1	1.0
UN00002168	BCC	Accounting Entry Line. Source. Code	The code specifying the source of this accounting entry line, such as year to date, import, or manual input.	Accounting Entry Line		Source		Code						3	0	1	1.0
UN00002169	BCC	Accounting Entry Line. Last Change. Date Time	The date, time, date time, or other date time value of the last change to this accounting entry line.	Accounting Entry Line		Last Change		Date Time						4	0	1	1.0
UN00002170	BCC	Accounting Entry Line. Last Change Responsible Person Name. Text	The name or initials of the person, expressed as text, responsible for the last change to this accounting entry line.	Accounting Entry Line		Last Change Responsible Person Name		Text						5	0	1	1.0
UN00003222	BCC	Accounting Entry Line. Actual. Quantity	The actual quantity for this accounting entry line.	Accounting Entry Line		Actual		Quantity						6	0	1	1.0
UN00002171	ASCC	Accounting Entry Line. Specified. Accounting Line Index	A specified accounting line index for this accounting entry line.	Accounting Entry Line		Specified					Accounting Line Index			1	0	unbounded	1.1
UN00002172	ASCC	Accounting Entry Line. Repeated. Monetary Allocation	A repeated monetary allocation for this accounting entry line.	Accounting Entry Line		Repeated					Monetary Allocation			2	0	unbounded	1.0
UN00002173	ASCC	Accounting Entry Line. Repeated. Monetary Instalment	A repeated monetary instalment for this accounting entry line.	Accounting Entry Line		Repeated					Monetary Instalment			3	0	unbounded	1.0
UN00002174	ASCC	Accounting Entry Line. Related. Quantity Analysis	The quantity analysis related to this accounting entry line.	Accounting Entry Line		Related					Quantity Analysis			4	0	1	1.0
UN00002175	ASCC	Accounting Entry Line. Related. Accounting Line Monetary Value	An accounting line monetary value related to this accounting entry line.	Accounting Entry Line		Related					Accounting Line Monetary Value			5	0	unbounded	1.0
UN00002176	ASCC	Accounting Entry Line. Related. Tax	A tax related to this accounting entry line.	Accounting Entry Line		Related					Tax			6	0	unbounded	1.0
UN00002151	ACC	Accounting Entry. Details	A posting of monetary values into accounting books that indicates the financial flow for an economic event, the acquisition or consumption of a resource, or the working contribution of an agent.	Accounting Entry													1.0
UN00002152	BCC	Accounting Entry. Identification. Identifier	The unique identifier for this accounting entry.	Accounting Entry		Identification		Identifier						1	0	1	1.0
UN00002153	BCC	Accounting Entry. Processing Status. Code	The code specifying the processing status for this accounting entry, such as validated, not validated, proposed, simulated, deferred, or removed.	Accounting Entry		Processing Status		Code						2	0	1	1.0
UN00002154	BCC	Accounting Entry. Journal. Identifier	The unique identifier of the journal for this accounting entry.	Accounting Entry		Journal		Identifier						3	0	1	1.0
UN00002155	BCC	Accounting Entry. Value Date. Date Time	The date, time, date time, or other date time value of the value date of this accounting entry.	Accounting Entry		Value Date		Date Time						4	0	1	1.0
UN00002156	BCC	Accounting Entry. Removal. Indicator	The indication of whether or not this accounting entry must be removed.	Accounting Entry		Removal		Indicator						5	0	1	1.0
UN00002157	BCC	Accounting Entry. Unbalanced. Indicator	The indication of whether or not the debit and credit amounts of this accounting entry are unbalanced.	Accounting Entry		Unbalanced		Indicator						6	0	1	1.0
UN00002158	BCC	Accounting Entry. Related Entry. Identifier	The unique identifier of an entry related to this accounting entry.	Accounting Entry		Related Entry		Identifier						7	0	1	1.0
UN00002159	BCC	Accounting Entry. Category. Code	The code specifying the category of this accounting entry, such as financial accounting, budget, comparison, standard, recurring, or reordered.	Accounting Entry		Category		Code						8	0	1	1.0
UN00002160	BCC	Accounting Entry. Purpose. Text	The purpose, expressed as text, for this accounting entry.	Accounting Entry		Purpose		Text						9	0	1	1.0
UN00002161	BCC	Accounting Entry. Capture. Date Time	The date, time, date time, or other date time value of the capture of this accounting entry.	Accounting Entry		Capture		Date Time						10	0	1	1.0
UN00002162	BCC	Accounting Entry. Reversal. Date Time	The date, time, date time, or other date time value for the reversal of this accounting entry.	Accounting Entry		Reversal		Date Time						11	0	1	1.0
UN00002163	BCC	Accounting Entry. Validation. Date Time	The date, time, date time, or other date time value for the validation of this accounting entry.	Accounting Entry		Validation		Date Time						12	0	1	1.0
UN00002164	ASCC	Accounting Entry. Detailed. Accounting Entry Line	A detailed accounting line entry for this accounting entry.	Accounting Entry		Detailed					Accounting Entry Line			1	0	unbounded	1.0
UN00002187	ACC	Accounting Line Index. Details	The identification of a line in a folio of a book or an automated index.	Accounting Line Index													1.0
UN00002188	BCC	Accounting Line Index. Line. Numeric	The number of the line for this accounting line index.	Accounting Line Index		Line		Numeric						1	0	1	1.0
UN00002189	BCC	Accounting Line Index. Folio. Numeric	The number of the folio for this accounting line index.	Accounting Line Index		Folio		Numeric						2	0	1	1.0
UN00002190	ACC	Accounting Line Monetary Value. Details	The material or monetary worth of a thing that is associated with a line that is a part of an accounting entry.	Accounting Line Monetary Value													1.0
UN00002191	BCC	Accounting Line Monetary Value. Local Accounting Currency. Amount	The monetary value of the accounting line in the accounting currency local to where the accounting records are required.	Accounting Line Monetary Value		Local Accounting Currency		Amount						1	0	1	1.0
UN00002192	BCC	Accounting Line Monetary Value. Voucher Currency. Amount	The monetary value of the accounting line in the voucher currency.	Accounting Line Monetary Value		Voucher Currency		Amount						2	0	1	1.0
UN00002193	BCC	Accounting Line Monetary Value. Alternate Currency. Amount	The monetary value of the accounting line in another currency, such as a reporting currency, a consolidation currency, or the euro transition period.	Accounting Line Monetary Value		Alternate Currency		Amount						3	0	1	1.0
UN00002194	BCC	Accounting Line Monetary Value. Alternate Currency Amount Type. Code	The code specifying the type of the alternate currency amount, such as payment amount or Euro transition conversion amount, for this accounting line monetary value.	Accounting Line Monetary Value		Alternate Currency Amount Type		Code						4	0	1	1.0
UN00002195	BCC	Accounting Line Monetary Value. Debit Credit. Code	The code specifying the accounting sign of the accounting line monetary value (Reference United Nations Code List (UNCL) 4405 code list).	Accounting Line Monetary Value		Debit Credit		Code						5	0	1	1.0
UN00002196	BCC	Accounting Line Monetary Value. Matching. Identifier	The unique matching identifier for this accounting line monetary value, used to associate the amount of an accounting line with the opposite signed amount of another line in the same account.	Accounting Line Monetary Value		Matching		Identifier						6	0	1	1.0
UN00002197	BCC	Accounting Line Monetary Value. Ticking. Identifier	The unique ticking identifier for this accounting line monetary value, used to associate the amount of an accounting line with the amount of a line into another account.	Accounting Line Monetary Value		Ticking		Identifier						7	0	1	1.0
UN00002198	BCC	Accounting Line Monetary Value. Application Number. Identifier	The unique application number identifier for this accounting line monetary value, used for applying it to the corresponding line of the amount of this accounting line.	Accounting Line Monetary Value		Application Number		Identifier						8	0	1	1.0
UN00002199	BCC	Accounting Line Monetary Value. Achieved Work Category. Identifier	The unique identifier of the achieved category of work for this accounting line monetary value.	Accounting Line Monetary Value		Achieved Work Category		Identifier						9	0	1	1.0
UN00002200	BCC	Accounting Line Monetary Value. Distribution Key. Identifier	The unique identifier for the distribution key of this accounting line monetary value.	Accounting Line Monetary Value		Distribution Key		Identifier						10	0	1	1.0
UN00002201	ASCC	Accounting Line Monetary Value. Booking. Accounting Account	An accounting account to which this accounting line monetary value is booked.	Accounting Line Monetary Value		Booking					Accounting Account			1	0	unbounded	1.0
UN00002206	ACC	Accounting Voucher. Details	A document that assesses the reality of an operation, authenticates its conclusion and is used in accounting entry recording and for audit control matters.	Accounting Voucher													1.0
UN00002207	BCC	Accounting Voucher. Storage Location. Text	The storage location, expressed as text, for his accounting voucher.	Accounting Voucher		Storage Location		Text						1	0	1	1.0
UN00002208	BCC	Accounting Voucher. Receiving Department. Text	The receiving department, expressed as text, for this accounting voucher.	Accounting Voucher		Receiving Department		Text						2	0	1	1.0
UN00002209	BCC	Accounting Voucher. Identification. Identifier	The unique identifier for this accounting voucher.	Accounting Voucher		Identification		Identifier						3	0	1	1.0
UN00002210	BCC	Accounting Voucher. Medium. Code	The code specifying the medium for this accounting voucher, such as VAN, Internet, Optical Disk, DVD, CD-Rom, USB Key, EDI, ebXML, or paper.	Accounting Voucher		Medium		Code						4	0	1	1.0
UN00002213	BCC	Accounting Voucher. Tax Point. Date Time	The date, time, date time, or other date time value of the tax point for this accounting voucher.	Accounting Voucher		Tax Point		Date Time						5	0	1	1.0
UN00002214	BCC	Accounting Voucher. Imported File. Identifier	The unique identifier for the imported file containing this accounting voucher, such as in the case of an accounting system migration.	Accounting Voucher		Imported File		Identifier						6	0	1	1.0
UN00003223	BCC	Accounting Voucher. Attachment. Binary Object	A binary object that is attached or otherwise appended to this accounting voucher.	Accounting Voucher		Attachment		Binary Object						7	0	unbounded	1.0
UN00002215	ASCC	Accounting Voucher. Related. Document	A document related to this accounting voucher.	Accounting Voucher		Related					Document			1	0	unbounded	1.0
UN00002216	ACC	Add On Coverage. Details	A coverage which is added on to a policy but is provided by a different insurer/risk bearer.	Add On Coverage													1.0
UN00002217	BCC	Add On Coverage. Insurer Class. Code	The code specifying the insurer class of the add-on coverage, such as legal expense insurer, assistance company.	Add On Coverage		Insurer Class		Code						1	0	1	1.0
UN00002218	BCC	Add On Coverage. Policy. Identifier	The unique identifier of the policy for this add-on coverage.	Add On Coverage		Policy		Identifier						2	0	1	1.0
UN00002219	BCC	Add On Coverage. Insurer. Identifier	The unique identifier of the insurer for this add-on coverage.	Add On Coverage		Insurer		Identifier						3	0	1	1.0
UN00000010	ACC	Address. Details	The location at which a particular organization or person may be found or reached.	Address													1.1
UN00000011	BCC	Address. Identification. Identifier	A unique identifier for this address.	Address		Identification		Identifier						1	0	unbounded	1.0
UN00000012	BCC	Address. Format. Code	The code specifying the format of this address.	Address		Format		Code						2	0	1	1.1
UN00000014	BCC	Address. Postcode. Code	A code specifying the postcode of the address.	Address		Postcode		Code						3	0	unbounded	1.1
UN00000032	BCC	Address. Post Office Box. Text	The unique identifier, expressed as text, of a container commonly referred to as a box, in a post office or other postal service location, assigned to a person or organization, where postal items may be kept for this address.	Address		Post Office Box		Text				European Standard EN 14142-1: Delivery service type	This business term is used in the standardised French postal address	4	0	1	1.1
UN00000019	BCC	Address. Block Name. Text	The block name, expressed as text, for an area surrounded by streets and usually containing several buildings for this address.	Address		Block Name		Text						5	0	1	1.0
UN00000020	BCC	Address. Building Number. Text	The number, expressed as text, of a building or house on a street at this address.	Address		Building Number		Text						6	0	1	1.0
UN00000021	BCC	Address. Building Name. Text	The name, expressed as text, of a building, a house or other structure on a street at this address.	Address		Building Name		Text						7	0	1	1.0
UN00000023	BCC	Address. Room Identification. Text	The identification, expressed as text, of a room, suite, office or apartment as part of an address.	Address		Room Identification		Text						8	0	1	1.0
UN00000022	BCC	Address. Department Name. Text	The name, expressed as text, of a department within this address.	Address		Department Name		Text						9	0	1	1.0
UN00000024	BCC	Address. Floor Identification. Text	The identification by name or number, expressed as text, of the floor in a building as part of an address.	Address		Floor Identification		Text				SubPremiseNumber		10	0	1	1.0
UN00000025	BCC	Address. In-House Mail. Text	An in-house mail location, expressed as text, for this address.	Address		In-House Mail		Text				European Standard EN 14142-1: Delivery Point Access Data	This business term is used in the standardised French postal address	11	0	unbounded	1.1
UN00000026	BCC	Address. Line One. Text	The first free form line, expressed as text, of an address.	Address		Line One		Text						12	0	1	1.0
UN00000027	BCC	Address. Line Two. Text	The second free form line, expressed as text, of an address.	Address		Line Two		Text						13	0	1	1.0
UN00000028	BCC	Address. Line Three. Text	The third free form line, expressed as text, of an address.	Address		Line Three		Text						14	0	1	1.0
UN00000029	BCC	Address. Line Four. Text	The fourth free form line, expressed as text, of an address.	Address		Line Four		Text						15	0	1	1.0
UN00000030	BCC	Address. Line Five. Text	The fifth free form line, expressed as text, of an address.	Address		Line Five		Text						16	0	1	1.0
UN00000031	BCC	Address. Plot Identification. Text	The textual expression of the unique identifier for the piece of land on which this address is located such as a plot number.	Address		Plot Identification		Text						17	0	1	1.0
UN00000033	BCC	Address. Street Name. Text	A name, expressed as text, of a street or thoroughfare.	Address		Street Name		Text				European Standard EN 14142-1: Thoroughfare Name	This business term is used in the standardised French postal address	18	0	unbounded	1.1
UN00000013	BCC	Address. City Name. Text	The name, expressed as text, of the city, town or village of this address.	Address		City Name		Text				European Standard EN 14142-1: Thoroughfare Name		19	0	1	1.1
UN00000200	BCC	Address. Attention Of. Text	The name, expressed as text, of a person or department in the organization to whom incoming mail is marked with words such as 'for the attention of' or 'FAO' or 'ATTN' for this address.	Address		Attention Of		Text						20	0	1	1.0
UN00000201	BCC	Address. Care Of. Text	The name, expressed as text, of a person or organization at this address to whom incoming mail is marked with words such as 'care of' or 'C/O'.	Address		Care Of		Text						21	0	1	1.0
UN00000203	BCC	Address. Country. Identifier	The unique identifier of a country for this address (Reference ISO 3166 and UN/ECE Rec 3).	Address		Country		Identifier						22	0	1	1.0
UN00000204	BCC	Address. Type. Code	A code specifying the type of this address such as business address or home address.	Address		Type		Code						23	0	unbounded	1.0
UN00000205	BCC	Address. City Sub-Division Name. Text	A name, expressed as text, of a sub-division of a city for this address, for example a district or borough.	Address		City Sub-Division Name		Text						24	0	unbounded	1.0
UN00000937	BCC	Address. Country Name. Text	A name, expressed as text, of the country for this address.	Address		Country Name		Text				European Standard EN 14142-1:	Used in standard address in France:The seventh free form line, expressed as text of an address (Country name)	25	0	unbounded	1.1
UN00000936	BCC	Address. Country Sub-Division. Identifier	A unique identifier of the country sub-division for this address.	Address		Country Sub-Division		Identifier						26	0	unbounded	1.0
UN00000935	BCC	Address. Country Sub-Division Name. Text	A name, expressed as text, of the sub-division of a country for this address.	Address		Country Sub-Division Name		Text						27	0	unbounded	1.0
UN00001249	BCC	Address. Description. Text	A textual description of this address.	Address		Description		Text						28	0	unbounded	1.0
UN00002632	BCC	Address. Line Six. Text	The sixth free form line, expressed as text, of an address.	Address		Line Six		Text					This BCC is used in the standardised French postal address	29	0	1	1.0
UN00002633	BCC	Address. Street Type. Code	The code specifying the category or type of street.	Address		Street Type		Code				European Standard EN 14142-1: Thoroughfare type	Used in standard address in France: Postal address element indicating the category or type of thoroughfare	30	0	1	1.0
UN00002730	BCC	Address. City. Identifier	The unique identifier of the city for this address, such as United Nations Location Code (UNLOCODE).	Address		City		Identifier						31	0	1	1.0
UN00002220	BCC	Address. Township Name. Text	A name, expressed as text, of a township within which this address falls. A township is a geographic area that contains one or more cities, towns and villages.	Address		Township Name		Text						32	0	unbounded	1.0
UN00002221	BCC	Address. Returned Mail. Indicator	An indication of whether or not mail has been returned from this address.	Address		Returned Mail		Indicator						33	0	unbounded	1.0
UN00002222	BCC	Address. Legal Address. Indicator	The indication of whether or not this address is a legal address.	Address		Legal Address		Indicator						34	0	1	1.0
UN00002223	BCC	Address. Bar Code. Indicator	The indication of whether or not a barcode is included with the address.	Address		Bar Code		Indicator						35	0	1	1.0
UN00002224	BCC	Address. Prevent Override. Indicator	The indication of whether or not automatic override should be prevented for this address. For example some systems based on post office addresses will override local names with official names.	Address		Prevent Override		Indicator						36	0	1	1.0
UN00003354	BCC	Address. Staircase Number. Text	The number, expressed as text, of a staircase for this address.	Address		Staircase Number		Text						37	0	1	1.0
UN00004432	BCC	Address. Free Form. Text	A free form representation of this address, expressed as text.	Address		Free Form		Text				Recipient Of Material Name/Address		38	0	unbounded	1.0
UN00000015	ASCC	Address. Country Identification. Country	The unique identifier of the country for this address.	Address		Country Identification					Country			1	0	1	1.0
UN00000016	ASCC	Address. Country Identification. Country Sub-Division	An identification of a country sub-division of this address such as a state or county in the US or county in the UK or a department in France.	Address		Country Identification					Country Sub-Division	In the US: State, County, etc.  In the UK: County, etc.  In France: Departments, etc.		2	0	unbounded	1.0
UN00000035	ASCC	Address. Geo-Coordinate Identification. Geographical Coordinate	An identification of a set of geographical coordinates for this address.	Address		Geo-Coordinate Identification					Geographical Coordinate			3	0	unbounded	1.0
UN00000037	ASCC	Address. Usage. Preference	The preference for the usage of this address.	Address		Usage					Preference			4	0	1	1.0
UN00002225	ASCC	Address. Specified. Location	The location specified for this address.	Address		Specified					Location			5	0	1	1.0
UN00002226	ASCC	Address. Specified. Time Status	The time status for this address, such as current, previous, future, specified for this address.	Address		Specified					Time Status			6	0	1	1.0
UN00002227	ASCC	Address. Applicable. Period	A period applicable for this address.	Address		Applicable					Period			7	0	unbounded	1.0
UN00001330	ACC	Adjustment. Details	A correction or modification to reflect actual conditions.	Adjustment													1.0
UN00001331	BCC	Adjustment. Reason. Code	A code specifying a reason for the adjustment.	Adjustment		Reason		Code						1	0	unbounded	1.0
UN00001332	BCC	Adjustment. Reason. Text	A reason, expressed as text, for the adjustment.	Adjustment		Reason		Text						2	0	unbounded	1.0
UN00001333	BCC	Adjustment. Actual. Amount	An actual monetary amount added or subtracted as a result of this adjustment.	Adjustment		Actual		Amount						3	0	unbounded	1.0
UN00003180	BCC	Adjustment. Actual. Quantity	An actual quantity added or subtracted as a result of this adjustment.	Adjustment		Actual		Quantity						4	0	unbounded	1.1
UN00003181	BCC	Adjustment. Actual. Date Time	An actual date, time, date time, or other date time value of this adjustment.	Adjustment		Actual		Date Time						5	0	unbounded	1.1
UN00001334	ASCC	Adjustment. Reference. Document	A referenced document for this adjustment.	Adjustment		Reference					Document			1	0	unbounded	1.0
UN00002837	ACC	Agricultural Device. Details	An object used to perform an agricultural activity.	Agricultural Device													1.0
UN00002838	BCC	Agricultural Device. Identification. Identifier	A unique identifier for this agricultural device.	Agricultural Device		Identification		Identifier						1	0	unbounded	1.0
UN00002839	BCC	Agricultural Device. Type. Code	A code specifying a type of agricultural device.	Agricultural Device		Type		Code						2	0	unbounded	1.0
UN00002840	ASCC	Agricultural Device. Owner. Party	A party that owns this agricultural device.	Agricultural Device		Owner					Party			1	0	unbounded	1.0
UN00002875	ACC	Agricultural Process. Details	A practice of cultivating land, raising crops, and feeding, breeding and raising livestock.	Agricultural Process													1.0
UN00002876	BCC	Agricultural Process. Identification. Identifier	A unique identifier for this agricultural process.	Agricultural Process		Identification		Identifier						1	0	unbounded	1.0
UN00002877	BCC	Agricultural Process. Type. Code	A code specifying a type of agricultural process.	Agricultural Process		Type		Code						2	0	unbounded	1.0
UN00002878	BCC	Agricultural Process. Description. Text	A textual description of this agricultural process.	Agricultural Process		Description		Text						3	0	unbounded	1.0
UN00002879	ASCC	Agricultural Process. Occurrence. Period	A period within which this agricultural process occurs.	Agricultural Process		Occurrence					Period			1	0	unbounded	1.0
UN00002880	ASCC	Agricultural Process. Performed. Work Item	A work item performed within this agricultural process.	Agricultural Process		Performed					Work Item			2	0	unbounded	1.0
UN00002881	ASCC	Agricultural Process. Specified. Reason	A reason specified for this agricultural process.	Agricultural Process		Specified					Reason			3	0	unbounded	1.0
UN00002882	ASCC	Agricultural Process. Operator. Party	A party which is an operator for this agricultural process.	Agricultural Process		Operator					Party			4	0	unbounded	1.0
UN00002883	ASCC	Agricultural Process. Used. Agricultural Device	An agricultural device used in this agricultural process.	Agricultural Process		Used					Agricultural Device			5	0	unbounded	1.0
UN00002884	ASCC	Agricultural Process. Occurrence. Area	An area within which this agricultural process occurs.	Agricultural Process		Occurrence					Area			6	0	unbounded	1.0
UN00002885	ASCC	Agricultural Process. Used. Crop Input	Crop input used in this agricultural process.	Agricultural Process		Used					Crop Input			7	0	unbounded	1.0
UN00002886	ASCC	Agricultural Process. Harvested. Produce	A harvested produce in this agricultural process.	Agricultural Process		Harvested					Produce			8	0	unbounded	1.0
UN00002887	ASCC	Agricultural Process. Applicable. Characteristic	A characteristic applicable to this agricultural process.	Agricultural Process		Applicable					Characteristic			9	0	unbounded	1.0
UN00002888	ASCC	Agricultural Process. Specified. Target Object	A target object specified for this agricultural process.	Agricultural Process		Specified					Target Object			10	0	unbounded	1.0
UN00002889	ASCC	Agricultural Process. Specified. Crop Stage	A crop stage specified for this agricultural process.	Agricultural Process		Specified					Crop Stage			11	0	unbounded	1.0
UN00002890	ASCC	Agricultural Process. Specified. Condition	A condition specified for this agricultural process.	Agricultural Process		Specified					Condition			12	0	unbounded	1.0
UN00003670	ACC	Air Conditioning. Details	A system to cool and dehumidify indoor air.	Air Conditioning													1.0
UN00003671	BCC	Air Conditioning. Type. Code	The code specifying the type of air conditioning system.	Air Conditioning		Type		Code						1	0	1	1.0
UN00003672	BCC	Air Conditioning. Type. Text	The type of air conditioning system, expressed as text.	Air Conditioning		Type		Text						2	0	1	1.0
UN00003673	BCC	Air Conditioning. Chemical Agent. Code	The code specifying the chemical agent used in the air conditioning system.	Air Conditioning		Chemical Agent		Code						3	0	1	1.0
UN00003674	ACC	Alarm. Details	A device that provides a warning that the item which it is protecting is under an imminent threat, such as theft or fire.	Alarm													1.0
UN00003675	BCC	Alarm. Type. Code	The code specifying the type of alarm, such as central station, monitoring station, or local alarm.	Alarm		Type		Code						1	0	1	1.0
UN00003676	BCC	Alarm. Type. Text	The type of alarm, expressed as text.	Alarm		Type		Text						2	0	1	1.0
UN00003677	BCC	Alarm. Ring Type. Code	The code specifying how and where the alarm sounds, such as central station with keys, central station without keys, or local gong with keys.	Alarm		Ring Type		Code						3	0	1	1.0
UN00003678	BCC	Alarm. Method Type. Code	The code specifying the method type for this alarm, such as heat sensor, humidity, or hold-up.	Alarm		Method Type		Code						4	0	1	1.0
UN00003679	BCC	Alarm. Maintenance Contract. Indicator	The indication of whether or not a maintenance contract is in place for this alarm.	Alarm		Maintenance Contract		Indicator						5	0	1	1.0
UN00003680	BCC	Alarm. Protection Extent. Code	The code specifying the extent of protection offered by this alarm.	Alarm		Protection Extent		Code						6	0	1	1.0
UN00003681	BCC	Alarm. Protection Extent. Text	The extent of protection offered by the alarm, expressed as text.	Alarm		Protection Extent		Text						7	0	1	1.0
UN00003682	BCC	Alarm. Protection Extent Grade Differential. Code	The code specifying the protection extent grade differential of the alarm, such as specifying the extent of above or below grade alarm protection.	Alarm		Protection Extent Grade Differential		Code						8	0	1	1.0
UN00003683	BCC	Alarm. Emergency Service Direct Link. Indicator	An indication of whether or not the alarm has a direct link to an emergency service, such as to police or fire department.	Alarm		Emergency Service Direct Link		Indicator						9	0	unbounded	1.0
UN00003684	BCC	Alarm. Line Protected. Indicator	The indication of whether or not the alarm line is protected.	Alarm		Line Protected		Indicator						10	0	1	1.0
UN00003685	BCC	Alarm. Installation Level. Code	The code specifying the installation level of the alarm.	Alarm		Installation Level		Code						11	0	1	1.0
UN00003686	BCC	Alarm. Monitoring Company Name. Text	The name of the monitoring company name for this alarm, expressed as text.	Alarm		Monitoring Company Name		Text						12	0	1	1.0
UN00003687	BCC	Alarm. Installer. Text	The name, expressed as text, of the installer of this alarm.	Alarm		Installer		Text						13	0	1	1.0
UN00003688	BCC	Alarm. Communication Line Type. Code	The code specifying the type of communication line for this alarm.	Alarm		Communication Line Type		Code						14	0	1	1.0
UN00003689	BCC	Alarm. Communication Line Type. Text	The type of communication line, expressed as text, for this alarm.	Alarm		Communication Line Type		Text						15	0	1	1.0
UN00003690	BCC	Alarm. Monitoring Service Type. Code	The code specifying the type of monitoring service for this alarm.	Alarm		Monitoring Service Type		Code						16	0	1	1.0
UN00003691	BCC	Alarm. Monitoring Service Type. Text	The type of monitoring service for this alarm, expressed as text.	Alarm		Monitoring Service Type		Text						17	0	1	1.0
UN00003692	BCC	Alarm. Certified. Indicator	The indication of whether or not the alarm is certified by an official authority.	Alarm		Certified		Indicator						18	0	1	1.0
UN00003693	ASCC	Alarm. Underwriters Laboratory. Certificate	The underwriters laboratory certificate for this alarm.	Alarm		Underwriters Laboratory					Certificate			1	0	1	1.0
UN00000521	ACC	Allowance Charge. Details	A component of pricing, such as a service, promotion, allowance or charge.	Allowance Charge													1.0
UN00000522	BCC	Allowance Charge. Identification. Identifier	A unique identifier for this allowance charge.	Allowance Charge		Identification		Identifier						1	0	unbounded	1.1
UN00000523	BCC	Allowance Charge. Description. Text	A textual description of this allowance charge.	Allowance Charge		Description		Text						2	0	unbounded	1.0
UN00000524	BCC	Allowance Charge. Calculation. Percent	A percentage applied to calculate the allowance charge.	Allowance Charge		Calculation		Percent						3	0	unbounded	1.0
UN00000525	BCC	Allowance Charge. Reason. Code	A code specifying the reason for this allowance charge.	Allowance Charge		Reason		Code						4	0	unbounded	1.1
UN00000526	BCC	Allowance Charge. Basis. Amount	A monetary value that is the basis on which the allowance or charge is calculated.	Allowance Charge		Basis		Amount						5	0	unbounded	1.1
UN00000527	BCC	Allowance Charge. Basis. Quantity	The quantity on which the allowance or charge is based.	Allowance Charge		Basis		Quantity						6	0	1	1.0
UN00000528	BCC	Allowance Charge. Calculation. Numeric	The factor expressed as a number applied to calculate the allowance charge such as 1.1.	Allowance Charge		Calculation		Numeric						7	0	1	1.0
